"","overall_rank","rank_by_subregion","name","native_names","country","averagearea_km","averagearea_mi","notes"
"1",1,"E01","Ladoga","Ла́дожское Óзеро, Laatokka","Russia","17,700","6,800","14th largest lake in the world"
"2",2,"E02","Onega","Onego, Онежское озеро, Ääninen, Äänisjärvi","Russia","9,894","3,820","18th largest lake in the world"
"3",NA,"","Kuybyshev","Kuybyshevskoye Reservoir, Ку́йбышевское водохрани́лище","Russia","6,450","2,490","3rd largest reservoir in the world"
"4",3,"N01","Vänern","","Sweden","5,655","2,183","Largest lake in Sweden and European Union"
"5",NA,"","Rybinsk","Rybinskoye Reservoir, Ры́бинское водохрани́лище","Russia","4,580","1,770",""
"6",4,"N02","Saimaa","Saimaa","Finland","4,377","1,690","Largest lake in Finland; a group of smaller lake basins"
"7",5,"E03","Peipus","Peipsi-Pihkva järv, Чудско-Псковское озеро, Peipusa ezers","Estonia, Russia","3,555","1,373","Largest lake in Estonia"
"8",NA,"","Tsimlyansk","Tsimlyanskoye Reservoir, Цимля́нское водохрани́лище","Russia","2,702","1,043",""
"9",NA,"","Kremenchuk","Кременчуцьке водосховище","Ukraine","2,250","870",""
"10",NA,"","Kakhovka","Каховське водосховище","Ukraine","2,155","832",""
"11",6,"N03","Vättern","","Sweden","1,893","731",""
"12",NA,"","Saratov","Саратовское водохрани́лище","Russia","1,831","707",""
"13",NA,"","Gorky","Горьковское водохрани́лище","Russia","1,591","614",""
"14",NA,"","Suur-Saimaa","","Finland","1,377","532","Largest basin of Saimaa"
"15",7,"E04","Beloye","Белое озеро","Russia","1,290","500",""
"16",8,"E05","Vygozero","Выгозеро, Uikujärvi","Russia","1,250","480","Original area 766 km² before the construction of a dam"
"17",9,"N04","Mälaren","","Sweden","1,140","440",""
"18",10,"W01","IJsselmeer","","Netherlands","1,100","420","Closed off sea inlet. Largest meer (lake) in the Netherlands"
"19",11,"N05","Päijänne","","Finland","1,081","417","Deepest lake in Finland"
"20",12,"N06","Inari","Inarijärvi, Enare träsk, Anárjávri, Aanaarjävri, Aanarjäuˊrr","Finland","1,040","400","The Largest Lake in Laplad, Finland's northern most lake."
"21",NA,"","Kiev","Київське водосховище","Ukraine","992","383",""
"22",13,"E06","Topozero","Топозеро, Tuoppajärvi","Russia","986","381",""
"23",14,"E07","Ilmen","Ильмень","Russia","982","379","(733–2,090 km2 (283–807 sq mi))"
"24",14,"E08","Lake Sevan","Sevan","Armenia","940","360","1,416 km2 (547 sq mi)[clarification needed]"
"25",15,"E08","Segozero","Сегозеро, Seesjärvi","Russia","906","350",""
"26",16,"N07","Pielinen","","Finland","894","345",""
"27",17,"N08","Oulujärvi","Ule träsk","Finland","887","342",""
"28",18,"E09","Imandra","Имандра, Imantero, Avvir","Russia","876","338",""
"29",NA,"","Pihlajavesi","","Finland","713","275","Part of Saimaa"
"30",NA,"","Pihkva","","Estonia, Russia","710","270","Part of Peipus"
"31",19,"W02","Markermeer","","Netherlands","700","270","Previously (before 1975) part of the IJsselmeer"
"32",NA,"","Iron Gates","","Romania/Serbia","200","77","Gorge on the River Danube"
"33",NA,"","Kaniv","Канівське водосховище","Ukraine","675","261",""
"34",20,"E10","Pyaozero","Пяозеро, Pääjärvi","Russia","659","254",""
"35",21,"E11","Kovdozero","Ковдозеро, Koutajärvi","Russia","608","235",""
"36",NA,"","Mingachevir","","Azerbaijan","605","234",""
"37",NA,"","Orivesi","","Finland","601","232","Part of Saimaa"
"38",22,"E12","Balaton","Balaton (Hungarian), Plattensee (German)","Hungary","592","229","Largest lake in Central Europe"
"39",23,"W03","Geneva","Lac Léman, Lac de Genève","Switzerland, France","581","224","Largest lake in Switzerland and France, largest lake in the Alps"
"40",NA,"","Kamianske","Кам'янське водосховище","Ukraine","567","219",""
"41",NA,"","Haukivesi","","Finland","562","217","Part of Saimaa"
"42",24,"W04","Constance","Bodensee","Germany, Switzerland, Austria","541","209","Largest lake in Germany and Austria"
"43",25,"N09","Keitele","","Finland","494","191",""
"44",26,"N10","Hjälmaren","","Sweden","485","187",""
"45",27,"N11","Kallavesi","","Finland","473","183",""
"46",28,"N12","Storsjön","","Sweden","464","179",""
"47",NA,"","Puruvesi","","Finland","421","163","Part of Saimaa"
"48",29,"E13","Vozhe","","Russia","416","161",""
"49",30,"E14","Razelm","","Romania","415","160","Largest lake in Romania"
"50",30,"E14","Kubenskoye","Кубенское озеро","Russia","407","157",""
"51",31,"N13","Lough Neagh","Loch Neagh, Loch nEathach","Northern Ireland (United Kingdom)","388","150","Largest lake in United Kingdom, largest lake on the island of Ireland"
"52",32,"E15","Sheksninskoye","","Russia","380","150",""
"53",33,"S01","Skadar","Skadar Lake, Skadarsko jezero, Скадарско језеро, Liqeni i Shkodrës","Albania, Montenegro","370–530","140–200","Largest lake in Albania and Montenegro, largest lake in Southern Europe"
"54",34,"S02","Garda","Lago di Garda","Italy","370","140","Largest lake in Italy"
"55",35,"N14","Mjøsa","","Norway","365","141","Largest lake in Norway"
"56",NA,"","Pyhäselkä","","Finland","361","139","Part of Saimaa"
